time,T,RH,light
2017-08-30 04:30:00-08:00,24.15,80,0
2017-08-30 04:45:00-08:00,23.978125,80,0
2017-08-30 05:00:00-08:00,23.9,80,0
2017-08-30 05:15:00-08:00,23.94190340909091,80,0
2017-08-30 05:30:00-08:00,24.05340909090909,80,0
2017-08-30 05:45:00-08:00,24.213210227272725,80,0
2017-08-30 06:00:00-08:00,24.4,80,1
2017-08-30 06:15:00-08:00,24.669102272727272,80,1
2017-08-30 06:30:00-08:00,25.066090909090907,80,1
2017-08-30 06:45:00-08:00,25.555034090909093,80,1
2017-08-30 07:00:00-08:00,26.1,80,1
2017-08-30 07:15:00-08:00,26.774191231343284,80,1
2017-08-30 07:30:00-08:00,27.61184328358209,80,1
2017-08-30 07:45:00-08:00,28.51857369402985,80,1
2017-08-30 08:00:00-08:00,29.4,80,1
2017-08-30 08:15:00-08:00,30.258287193066923,80,1
2017-08-30 08:30:00-08:00,31.134785748675974,80,1
2017-08-30 08:45:00-08:00,31.993891429947034,80,1
2017-08-30 09:00:00-08:00,32.8,80,1
2017-08-30 09:15:00-08:00,33.59531637717121,80,1
2017-08-30 09:30:00-08:00,34.386435070306035,80,1
2017-08-30 09:45:00-08:00,35.08433622828784,80,1
2017-08-30 10:00:00-08:00,35.6,80,1
2017-08-30 10:15:00-08:00,35.99399038461538,80,1
2017-08-30 10:30:00-08:00,36.34743589743589,80,1
2017-08-30 10:45:00-08:00,36.60216346153847,80,1
2017-08-30 11:00:00-08:00,36.7,80,1
2017-08-30 11:15:00-08:00,36.7,80,1
2017-08-30 11:30:00-08:00,36.7,80,1
2017-08-30 11:45:00-08:00,36.7,80,1
2017-08-30 12:00:00-08:00,36.7,80,1
2017-08-30 12:15:00-08:00,36.871875,80,1
2017-08-30 12:30:00-08:00,37.25,80,1
2017-08-30 12:45:00-08:00,37.628125,80,1
2017-08-30 13:00:00-08:00,37.8,80,1
2017-08-30 13:15:00-08:00,37.73181818181818,80,1
2017-08-30 13:30:00-08:00,37.56818181818182,80,1
2017-08-30 13:45:00-08:00,37.37045454545455,80,1
2017-08-30 14:00:00-08:00,37.2,80,1
2017-08-30 14:15:00-08:00,37.045170454545456,80,1
2017-08-30 14:30:00-08:00,36.88181818181818,80,1
2017-08-30 14:45:00-08:00,36.75255681818182,80,1
2017-08-30 15:00:00-08:00,36.7,80,1
2017-08-30 15:15:00-08:00,36.778125,80,1
2017-08-30 15:30:00-08:00,36.95,80,1
2017-08-30 15:45:00-08:00,37.121875,80,1
2017-08-30 16:00:00-08:00,37.2,80,1
2017-08-30 16:15:00-08:00,37.16037946428571,80,1
2017-08-30 16:30:00-08:00,37.05267857142857,80,1
2017-08-30 16:45:00-08:00,36.89363839285714,80,1
2017-08-30 17:00:00-08:00,36.7,80,1
2017-08-30 17:15:00-08:00,36.29487263655462,80,1
2017-08-30 17:30:00-08:00,35.633350840336135,80,1
2017-08-30 17:45:00-08:00,34.93015362394958,80,1
2017-08-30 18:00:00-08:00,34.4,80,0
2017-08-30 18:15:00-08:00,34.07995302287581,80,0
2017-08-30 18:30:00-08:00,33.82693355119825,80,0
2017-08-30 18:45:00-08:00,33.58544730392157,80,0
2017-08-30 19:00:00-08:00,33.3,80,0
2017-08-30 19:15:00-08:00,32.94393939393939,80,0
2017-08-30 19:30:00-08:00,32.54309764309764,80,0
2017-08-30 19:45:00-08:00,32.12070707070707,80,0
2017-08-30 20:00:00-08:00,31.7,80,0
2017-08-30 20:15:00-08:00,31.282244318181817,80,0
2017-08-30 20:30:00-08:00,30.856439393939397,80,0
2017-08-30 20:45:00-08:00,30.427414772727275,80,0
2017-08-30 21:00:00-08:00,30.0,80,0
2017-08-30 21:15:00-08:00,29.531534090909087,80,0
2017-08-30 21:30:00-08:00,29.03409090909091,80,0
2017-08-30 21:45:00-08:00,28.594602272727272,80,0
2017-08-30 22:00:00-08:00,28.3,80,0
2017-08-30 22:15:00-08:00,28.113210227272727,80,0
2017-08-30 22:30:00-08:00,27.95340909090909,80,0
2017-08-30 22:45:00-08:00,27.84190340909091,80,0
2017-08-30 23:00:00-08:00,27.8,80,0
2017-08-30 23:15:00-08:00,27.878125,80,0
2017-08-30 23:30:00-08:00,28.050000000000004,80,0
2017-08-30 23:45:00-08:00,28.221874999999997,80,0
2017-08-31 00:00:00-08:00,28.3,80,0
2017-08-31 00:15:00-08:00,28.24744318181818,80,0
2017-08-31 00:30:00-08:00,28.11818181818182,80,0
2017-08-31 00:45:00-08:00,27.954829545454544,80,0
